Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Takenaka, S., Ohsumi, T., Noiri, Y.","15851821100; 55469813700; 6701701631","Evidence-based strategy for dental biofilms: Current evidence of mouthwashes on dental biofilm and gingivitis",2019,"Japanese Dental Science Review",55,"1",,33,40,,,10.1016/j.jdsr.2018.07.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052732867&partnerID=40&md5=8ed50a9c1dd4027beaac83118018a4ac",Review,Final,Open Access,Scopus,2-s2.0-85052732867
"Koyama, J., Fukazawa, K., Ishihara, K., Mori, Y.","57201878866; 23570579500; 36048071500; 56553559700","In situ surface modification on dental composite resin using 2-methacryloyloxyethyl phosphorylcholine polymer for controlling plaque formation",2019,"Materials Science and Engineering C",104,"", 109916,,,,,10.1016/j.msec.2019.109916,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068112477&partnerID=40&md5=537d8cbe0cd111c6ea92b5b81a6ee0f5",Article,Final,,Scopus,2-s2.0-85068112477
"Toyama, T., Furukawa, Y., Hayashi, Y., Araki, M., Nakano, T., Fukuta, O.","57204301853; 57208776954; 55511865400; 57208780607; 35187508200; 6603696815","Dental floss use among elementary school children and environmental factors; a cross-sectional study",2019,"Pediatric Dental Journal",29,"2",,78,83,,,10.1016/j.pdj.2019.04.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065794141&partnerID=40&md5=63e0e92cfea445702dbe7e9105bc714b",Article,Final,,Scopus,2-s2.0-85065794141
"Sfeatcu, R., Dumitrache, M.A., Cărămidă, M., Johannsen, A., Perlea, P.","26432369600; 36185161700; 57208528583; 8402080500; 55954134600","A pilot study on the effectiveness of a 2-year school-based oral health educational programme using experiential learning among adolescents",2019,"International Journal of Dental Hygiene",17,"3",,221,228,,,10.1111/idh.12400,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065028778&partnerID=40&md5=ac167739cf9753a3f13bc62e0594e51d",Article,Final,,Scopus,2-s2.0-85065028778
"Marshman, Z., Ainsworth, H., Chestnutt, I.G., Day, P., Dey, D., El Yousfi, S., Fairhurst, C., Gilchrist, F., Hewitt, C., Jones, C., Kellar, I., Pavitt, S., Robertson, M., Shah, S., Stevens, K., Torgerson, D., Innes, N.","18434685200; 35726810900; 55664914300; 57203053300; 57192834672; 57209713523; 55849898100; 57203029426; 8382148900; 36247290800; 9044945500; 22986447400; 57201442623; 55849533900; 8622575200; 57194243906; 13610392800","Brushing RemInder 4 Good oral HealTh (BRIGHT) trial: Does an SMS behaviour change programme with a classroom-based session improve the oral health of young people living in deprived areas? A study protocol of a randomised controlled trial",2019,"Trials",20,"1", 452,,,,,10.1186/s13063-019-3538-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069773683&partnerID=40&md5=55d963e96d186da35cbf91c38e0d8424",Article,Final,Open Access,Scopus,2-s2.0-85069773683
"Tuna, T., Kuhlmann, L., Bishti, S., Sirazitdinova, E., Deserno, T., Wolfart, S.","52364876300; 57208735981; 55974350000; 55609295900; 21233724300; 56001591600","Removal of simulated biofilm at different implant crown designs with interproximal oral hygiene aids: An in vitro study",2019,"Clinical Oral Implants Research",30,"7",,627,636,,,10.1111/clr.13448,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065657662&partnerID=40&md5=2090a86480a24863169d11aeee802490",Article,Final,,Scopus,2-s2.0-85065657662
"Gopinath, V., Sivanagini, Y., Chinnasamy, A., Jain, A.R.","57210604367; 57203784997; 57210597561; 57192678277","Evaluation of antiplaque and microbial effect of herbal (neem extract), chlorhexidine, and betadine mouthwash on patients after dental implant treatment",2019,"Drug Invention Today",12,"7",,1422,1424,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071126048&partnerID=40&md5=98138c8bcccaac270611077c898778c1",Article,Final,,Scopus,2-s2.0-85071126048
"Goyal, N., Shamanna, P., Varughese, S., Abraham, R., Antony, B., Emmatty, R., Paul, P.","57209746815; 57209747382; 57209745571; 57209708355; 57203309784; 55633895300; 57195035249","Effects of amine fluoride and probiotic mouthwash on levels of Porphyromonas gingivalis in orthodontic patients: A randomized controlled trial",2019,"Journal of Indian Society of Periodontology",23,"4",,339,344,,,10.4103/jisp.jisp_551_18,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068596185&partnerID=40&md5=f9f48d28e6e7d46b4bf0133db1527be6",Article,Final,Open Access,Scopus,2-s2.0-85068596185
"Reddy, B.A., Ganapathy, D., Kumar, P.K.","57204049038; 57188879082; 57206834869","Prevalence of toothpaste swallowing habit in children between the age group of 3 and 5 years",2019,"Drug Invention Today",12,"7",,1452,1455,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071087063&partnerID=40&md5=9f0285d61ada769e955db399463b097e",Article,Final,,Scopus,2-s2.0-85071087063
"Obregón-Rodríguez, N., Fernández-Riveiro, P., Piñeiro-Lamas, M., Smyth-Chamosa, E., Montes-Martínez, A., Suárez-Cunqueiro, M.M.","57209394019; 6507756999; 50061792200; 6507074928; 8367410600; 6603404109","Prevalence and caries-related risk factors in schoolchildren of 12- and 15-year-old: A cross-sectional study",2019,"BMC Oral Health",19,"1", 120,,,,,10.1186/s12903-019-0806-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067596978&partnerID=40&md5=2c859d08dd997b07b6dbb4e2b76ca15a",Article,Final,Open Access,Scopus,2-s2.0-85067596978
